naics_code,industry
11212,Dairy Cattle and Milk Production
112310,Chicken Egg Production
2361,Residential Building Construction
236116,New Multifamily Housing Construction (except For-Sale Builders)
2362,Nonresidential Building Construction
23621,Industrial Building Construction
236220,Commercial and Institutional Building Construction
237990,Other Heavy and Civil Engineering Construction
238210,Electrical Contractors and Other Wiring Installation Contractors
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing
311991,Perishable Prepared Food Manufacturing
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
325212,Synthetic Rubber Manufacturing
325411,Medicinal and Botanical Manufacturing
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
3329,Other Fabricated Metal Product Manufacturing
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
333242,Semiconductor Machinery Manufacturing
333613,Mechanical Power Transmission Equipment Manufacturing
33399,All Other General Purpose Machinery Manufacturing
33411,Computer and Peripheral Equipment Manufacturing
334210,Telephone Apparatus Manufacturing
33429,Other Communications Equipment Manufacturing
334290,Other Communications Equipment Manufacturing
334310,Audio and Video Equipment Manufacturing
3344,Semiconductor and Other Electronic Component Manufacturing
33441,Semiconductor and Other Electronic Component Manufacturing
334412,Bare Printed Circuit Board Manufacturing
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
334517,Irradiation Apparatus Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
33599,All Other Electrical Equipment and Component Manufacturing
336111,Automobile Manufacturing
33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
33641,Aerospace Product and Parts Manufacturing
336411,Aircraft Manufacturing
339112,Surgical and Medical Instrument Manufacturing
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
424120,Stationery and Office Supplies Merchant Wholesalers
424210,Drugs and Druggists' Sundries Merchant Wholesalers
424330,"Womens, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
4244,Grocery and Related Product Merchant Wholesalers
42449,Other Grocery and Related Products Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
4451,Grocery and Convenience Retailers
44611,Pharmacies and Drug Stores
446110,Pharmacies and Drug Stores
453220,"Gift, Novelty, and Souvenir Stores"
4539,Other Micellanoues Store Retailers
453910,Pet and Pet Supplies Stores
481211,Nonscheduled Chartered Passenger Air Transportation
484121,"General Freight Trucking, Long-Distance, Truckload"
488190,Other Support Activities for Air Transportation
492210,Local Messengers and Local Delivery
511130,Book Publishers
5112,Software publishers
51121,Software publishers
5151,Radio and Television Broadcasting
515111,Radio Networks
515112,Radio Stations
5173,Telecommunications Resellers
517312,Wireless Telecommunications Carriers
5179,Other Telecommunications
51791,Other Telecommunications
517919,All Other Telecommunications
51821,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
5191,Other Information Services
519120,Libraries and Archives
51919,All Other Information Services
519190,All Other Information Services
522110,Commercial Banking
522291,Consumer Lending
522298,All Other Nondepository Credit Intermediation
522310,Mortgage and Nonmortgage Loan Brokers
52232,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
523110,Investment Banking And Securities Dealing
523130,Commodity Contracts Dealing
5239,Other Financial Investment Activities
52392,Portfolio Management
523920,Portfolio Management
523930,Investment Advice
52399,All Other Financial Investment Activities
524210,Insurance Agencies and Brokerages
52429,Other Insurance Related Activities
524292,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds
531110,Lessors of Residential Buildings and Dwellings
531210,Offices of Real Estate Agents and Brokers
5313,Activities Related to Real EstateT
531311,Residential Property Managers
5411,Legal Services
541110,Offices of Lawyers
541191,Title Abstract and Settlement Offices
541219,Other Accounting Services
5413,"Architectural, Engineering, and Related Services"
54131,Architectural Services
541310,Architectural Services
541320,Landscape Architectural Services
54133,Engineering Services
541340,Drafting Services
541490,Other Specialized Design Services
54161,Management Consulting Services
541612,Human Resources Consulting Services
541613,Marketing Consulting Services
541614,"Process, Physical Distribution, and Logistics Consulting Services"
541618,Other Management Consulting Services
54162,Environmental Consulting Services
541690,Other Scientific and Technical Consulting Services
5417,Scientific Research and Development Services
54171,"Research and Development in the Physical, Engineering, and Life Services"
541714,Research and Development in Biotechnology (except Nanobiotechnology)
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
541720,Research and Development in the Social Sciences and Humanities
541810,Advertising Agencies
541820,Public Relations Agencies
551114,"Corporate, Subsidiary, and Regional Managing Offices"
561110,Office Administrative Services
5613,Employment Services
56131,Employment Placement Agencies and Executive Search Services
561311,Employment Placement Agencies
561320,Temporary Help Services
561330,Professional Employer Organizations
561422,Telemarketing Bureaus and Other Contact Centers
56172,Janitorial Services
56173,Landscaping Services
611110,Elementary and Secondary Schools
611210,Junior Colleges
611310,"Colleges, Universities, and Professional Schools"
61163,Language Schools
611630,Language Schools
61171,Educational Support Services
611710,Educational Support Services
62111,Offices of Physicians
621111,Offices of Physicians (except Mental Health Specialists)
621210,Offices of Dentists
621320,Offices of Optometrists
621330,Offices of Mental Health Practitioners (except Physicians)
62134,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
62142,Outpatient Mental Health and Substance Abuse Centers
62151,Medical and Diagnostic Laboratories
621511,Medical Laboratories
621512,Diagnostic Imaging Centers
6216,Home Health Care Services
62161,Home Health Care Services
622110,General Medical and Surgical Hospitals
62322,Residential Mental Health and Substance Abuse Facilities
623312,Assisted Living Facilities for the Elderly
624120,Services for the Elderly and Persons with Disabilities
624190,Other Individual and Family Services
624410,Child Care Services
7113,"Promoters of Performing Arts, Sports, and Similar Events"
71132,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
711510,"Independent Artists, Writers, and Performers"
713990,All Other Amusement and Recreation Industries
722320,Caterers
722511,Full-Service Restaurants
811111,General Automotive Repair
811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
813110,Religious Organizations
813211,Grantmaking Foundations
813212,Voluntary Health Organizations
813311,Human Rights Organizations
813319,Other Social Advocacy Organizations
8139,"Business, Professional, Labor, Political, and Similar Organizations"
813910,Business Associations
81399,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
541611,Administrative Management and General Management Consulting Services
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
54199,"All Other Professional, Scientific, and Technical Services"
541990,"All Other Professional, Scientific, and Technical Services"
32541,Pharmaceutical and Medicine Manufacturing
3342,Communications Equipment Manufacturing
541513,Computer Facilities Management Services
5415,Computer Systems Design and Related Services
541512,Computer Systems Design Services
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
541511,Custom Computer Programming Services
54151,Computer Systems Design and Related Services
334111,Electronic Computer Manufacturing
454110,Electronic Shopping and Mail-Order Houses
45411,Electronic Shopping and Mail-Order Houses
541330,Engineering Services
541620,Environmental Consulting Services
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
51913,Internet Publishing and Broadcasting and Web Search Portals
519130,Internet Publishing and Broadcasting and Web Search Portals
54132,Landscape Architectural Services
541211,Offices of Certified Public Accountants
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
541519,Other Computer Related Services
54169,Other Scientific and Technical Consulting Services
325412,Pharmaceutical Preparation Manufacturing
5419,"Other Professional, Scientific, and Technical Services"
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
5416,"Management, Scientific, and Technical Consulting Services"
334413,Semiconductor and Related Device Manufacturing
511210,Software Publishers
541380,Testing Laboratories and Services
237110,Water and Sewer Line and Related Structures Construction
